SearchMode,TerminalSolver,ModelName,ModelPath,Simulations,Episodes,TotalSteps,Wins0,Alive0,Wins1,Alive1,Wins2,Alive2,Wins3,Alive3,Draws,NotDone,Time,EvalInfo
TwoPlayer,false,sl-2,/data/model-sl-2/onnx,50,1000,254246,549,555,101,113,100,115,73,81,157,20,1526.47,"219849.000000,6.407557,658.000000,0.000000,3.623821,3.623838:219849.000000,53.115175,78.000000,0.000000,39.617359,39.617539:219849.000000,5.137417,21.000000,1.000000,1.727365,1.727373:219849.000000,5.361061,21.000000,2.000000,1.873269,1.873277"
OnePlayer,false,sl-1,/data/model-sl-1/onnx,50,1000,229068,584,588,92,98,77,79,71,77,167,9,1534.08,"216993.000000,6.537151,546.000000,1.000000,3.429635,3.429651:216993.000000,52.370275,78.000000,0.000000,62.760783,62.761072:216993.000000,5.127718,19.000000,1.000000,2.367359,2.367370:216993.000000,5.397183,19.000000,1.000000,2.567587,2.567599"
OnePlayer,false,sl-0,/data/model-sl-0/onnx,50,1000,233676,604,605,76,79,77,81,84,88,153,6,1543.85,"218896.000000,6.518954,646.000000,1.000000,3.969809,3.969827:218896.000000,52.481375,81.000000,0.000000,62.966569,62.966857:218896.000000,5.035478,18.000000,1.000000,2.307363,2.307373:218896.000000,5.289220,18.000000,1.000000,2.529844,2.529856"
OnePlayer,false,sl-3,/data/model-sl-3/onnx,50,1000,231807,616,618,87,88,81,84,61,65,150,5,1511.54,"218992.000000,6.369598,657.000000,1.000000,3.849831,3.849848:218992.000000,52.501037,77.000000,0.000000,63.151621,63.151909:218992.000000,4.956610,18.000000,1.000000,2.193933,2.193943:218992.000000,5.212830,18.000000,1.000000,2.414191,2.414202"
OnePlayer,false,sl-2,/data/model-sl-2/onnx,50,1000,246034,612,616,83,90,68,72,74,85,150,13,1602.73,"228529.000000,6.479099,666.000000,1.000000,3.835121,3.835138:228529.000000,52.540531,77.000000,0.000000,61.415789,61.416058:228529.000000,4.983989,23.000000,1.000000,2.045169,2.045178:228529.000000,5.231074,23.000000,1.000000,2.214759,2.214769"
TwoPlayer,false,dummy-1,/data/model-dummy-1/onnx,50,1000,195787,129,129,254,273,268,292,272,286,50,27,705.151,"117412.000000,5.461520,718.000000,0.000000,5.499362,5.499409:117412.000000,53.426566,79.000000,0.000000,98.296885,98.297722:117412.000000,3.599675,10.000000,1.000000,0.539131,0.539136:117412.000000,3.720233,14.000000,2.000000,0.478675,0.478679"
TwoPlayer,false,dummy-0,/data/model-dummy-0/onnx,50,1000,188429,165,165,263,273,238,255,263,278,50,21,744.33,"123123.000000,5.504098,743.000000,1.000000,5.620856,5.620902:123123.000000,53.195528,79.000000,0.000000,105.781169,105.782028:123123.000000,3.593886,12.000000,1.000000,0.562279,0.562284:123123.000000,3.712434,14.000000,2.000000,0.480677,0.480681"
TwoPlayer,false,dummy-2,/data/model-dummy-2/onnx,50,1000,201925,141,141,242,261,261,276,268,286,63,25,718.76,"124898.000000,5.212990,692.000000,1.000000,4.857676,4.857715:124898.000000,53.327916,81.000000,0.000000,106.501881,106.502733:124898.000000,3.607488,9.000000,1.000000,0.569404,0.569409:124898.000000,3.735064,9.000000,2.000000,0.482836,0.482840"
OnePlayer,false,dummy-0,/data/model-dummy-0/onnx,50,1000,233012,373,375,158,164,143,148,147,154,169,10,1241.89,"208803.000000,5.413217,763.000000,1.000000,3.780157,3.780175:208803.000000,53.399985,80.000000,0.000000,76.840640,76.841008:208803.000000,3.512569,9.000000,1.000000,0.496294,0.496297:208803.000000,3.631001,10.000000,1.000000,0.538926,0.538929"
OnePlayer,false,dummy-1,/data/model-dummy-1/onnx,50,1000,225519,368,370,145,152,166,170,150,156,162,9,1231.37,"205594.000000,5.454799,729.000000,1.000000,3.629719,3.629737:205594.000000,53.234272,79.000000,0.000000,78.028519,78.028898:205594.000000,3.514855,9.000000,1.000000,0.496674,0.496676:205594.000000,3.645758,10.000000,1.000000,0.545729,0.545731"
OnePlayer,false,dummy-2,/data/model-dummy-2/onnx,50,1000,222396,448,448,149,153,131,134,121,125,146,5,1212.33,"203761.000000,5.417165,668.000000,1.000000,3.307513,3.307529:203761.000000,53.376318,79.000000,0.000000,76.882305,76.882682:203761.000000,3.486315,9.000000,1.000000,0.488534,0.488536:203761.000000,3.610588,10.000000,1.000000,0.533921,0.533924"
TwoPlayer,false,sl-4,/data/model-sl-4/onnx,50,1000,234365,461,465,105,114,128,134,114,123,178,14,1456.55,"197810.000000,6.827607,718.000000,1.000000,4.543685,4.543707:197810.000000,52.820272,76.000000,0.000000,46.987606,46.987843:197810.000000,5.312820,19.000000,1.000000,2.170820,2.170831:197810.000000,5.549204,19.000000,2.000000,2.311913,2.311925"
OnePlayer,false,sl-4,/data/model-sl-4/onnx,50,1000,229894,599,601,74,77,82,86,93,96,146,6,1512.97,"214560.000000,6.517380,730.000000,1.000000,4.332341,4.332362:214560.000000,52.372273,78.000000,0.000000,61.268455,61.268740:214560.000000,5.164681,20.000000,1.000000,2.495979,2.495990:214560.000000,5.432163,20.000000,1.000000,2.702995,2.703008"
